Haselhuhn,Hazel Grouse,,,,,,,
Brautente,Wood Duck,,,,,,,
Rotschulterente,Ringed Teal,,,,,,,
Bahamaente,White-cheeked Pintail,,,,,,,
Riesentafelente,Canvasback,,,,,,,
Rotkopfente,Redhead,,,,,,,
Büffelkopfente,Bufflehead,,,,,,,
Kappensäger,Hooded Merganser,,,,,,,
Palmtaube,Laughing Dove,,,,,,,
Kubaflamingo,American Flamingo,,,,,,,
Zwergflamingo,Lesser Flamingo,,,,,,,
Waldrapp,Northern Bald Ibis,,,,,,,
Küstenreiher,Western Reef Heron,,,,,,,
Rötelpelikan,Pink-backed Pelican,,,,,,,
Buntfalke,American Kestrel,,,,,,,
Lannerfalke,Lanner Falcon,,,,,,,
Gelbkopfamazone,Yellow-headed Amazon,,,,,,,
Blaustirnamazone,Turquoise-fronted Amazon,,,,,,,
Alexandersittich,Alexandrine Parakeet,,,,,,,
Elsterdohle,Daurian Jackdaw,,,,,,,
Bergkalanderlerche,Bimaculated Lark,,,,,,,
Hirtenmaina,Common Myna,,,,,,,
Fahldrossel,Pale Thrush,,,,,,,
Saharasteinschmätzer,White-crowned Wheatear,,,,,,,
Weißkehlammer,White-throated Sparrow,,,,,,,
Braunkopf-Kuhstärling,Brown-headed Cowbird,,,,,,,
Rosenbrust-Kernknacker,Rose-breasted Grosbeak,,,,,,,
Waldsaatgans,#,,,,,,,
Tundrasaatgans,Tundra Bean-Goose,,,,,,,
Kanadabergente,Lesser Scaup,,,,,,,
Kamtschatkasamtente,#,,,,,,,
Nachtschwalbe,#,,,,,,,
Pharaonennachtschwalbe,#,,,,,,,
Sandflughuhn,Black-bellied Sandgrouse,,,,,,,
Kleinsumpfhuhn,#,,,,,,,
Graukopf-Purpurhuhn,#,,,,,,,
Wermutregenpfeifer,Caspian Plover,,,,,,,
Prärieläufer,Upland Sandpiper,,,,,,,
Dünnschnabel-Brachvogel,Slender-billed Curlew,,,,,,,
Brachvogel,Eurasian Curlew,,,,,,,
Anadyrknutt,#,,,,,,,
Tundraschlammläufer,#,,,,,,,
Moorschlammläufer,#,,,,,,,
Gelbschenkel,#,,,,,,,
Dunkelwasserläufer,#,,,,,,,
Noddi,Brown Noddy,,,,,,,
Sturmwellenläufer,#,,,,,,,
Corysturmtaucher,Cory's Shearwater,,,,,,,
Dunkelsturmtaucher,#,,,,,,,
Kappensturmtaucher,#,,,,,,,
Barolosturmtaucher,Barolo Shearwater,,,,,,,
Bulwersturmvogel,Bulwer's Petrel,,,,,,,
Rotschwanzwürger,Brown Shrike,,,,,,,
Gelbkehlvireo,Yellow-throated Vireo,,,,,,,
Rotaugenvireo,Red-eyed Vireo,,,,,,,
Alpenkrähe,Red-billed Chough,,,,,,,
Lasurmeise,Azure Tit,,,,,,,
Weißflügellerche,White-winged Lark,,,,,,,
Schwarzsteppenlerche,#,,,,,,,
Stummellerche,Lesser Short-toed Lark,,,,,,,
Middendorff-Laubsänger,Two-barred Warbler,,,,,,,
Streifenschwirl,Pallas's Grasshopper Warbler ,,,,,,,
Weißbart-Grasmücke,Subalpine Warbler,,,,,,,
Katzenspottdrossel,#,,,,,,,
